model_id,model_kind,metric,Domain (i),calib_subset,target_id,Specialist id,F_i,Specialist score,Merged/model score,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_breadcrumbs__calib_uncensored_refusal_like,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.02402957486136781,0.8170055452865065,0.7929759704251387,36,128,0.056879296949167234,0.05764024671225343,0.011714529128596446,0.034806414718332235,0.10715964663540944,0,35
aim_on_breadcrumbs__calib_uncensored_refusal_like,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.09595959595959597,0.5858585858585859,0.4898989898989899,36,128,0.04953349676401962,0.050349063298199326,0.008500342538712626,0.0332388389215339,0.08642669481923804,0,35
aim_on_breadcrumbs__calib_uncensored_refusal_like,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,-0.03674500884508469,0.8208112206216831,0.8575562294667678,36,128,0.06256390585783972,0.06357896394911222,0.004276358632664664,0.04617127752862871,0.07009859086247161,0,35
aim_on_breadcrumbs__calib_uncensored_refusal_like,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21634030559264203,0.24281690402017506,0.4591572096128171,36,128,0.10647129647016602,0.09567360478104092,0.041252540211825096,0.06806932992185466,0.2584712406678591,0,1
aim_on_dare,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.30868761552680224,0.8170055452865065,0.5083179297597042,36,128,0.005945126335265943,0.005572143942117691,0.005253588923120412,0.001811960362829268,0.035790830850601196,0,35
aim_on_dare,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.0505050505050505,0.5858585858585859,0.5353535353535354,36,128,0.003110312837331245,0.002739901770837605,0.003382773553870777,0.0010561704402789474,0.022710448130965233,0,35
aim_on_dare,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.08181703310588828,0.8208112206216831,0.7389941875157948,36,128,0.010812043238224255,0.010596314910799265,0.0045850304143318565,0.0045071872882544994,0.03227708861231804,0,35
aim_on_dare,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21095497700637886,0.24281690402017506,0.4537718810265539,36,128,0.056827045899505414,0.04563136771321297,0.04806468650249651,0.013200736604630947,0.22410069406032562,0,1
aim_on_dare,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.30868761552680224,0.8170055452865065,0.5083179297597042,36,128,0.05866933955823899,0.059933154538157396,0.009506244371913213,0.03492840370745398,0.09336494182934985,0,35
aim_on_dare,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.0505050505050505,0.5858585858585859,0.5353535353535354,36,128,0.05031383427356357,0.051987727245432325,0.0067004984967092,0.03303126178798266,0.07198058994254097,0,35
aim_on_dare,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.08181703310588828,0.8208112206216831,0.7389941875157948,36,128,0.06436423680982746,0.06461956970451865,0.004675369191697977,0.04908835163223557,0.08156104807858355,0,35
aim_on_dare,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21095497700637886,0.24281690402017506,0.4537718810265539,36,128,0.10265024130543073,0.09121537109604105,0.03911813714340502,0.06320051968214102,0.24776336428476498,0,1
aim_on_dare__calib_general,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.2939001848428836,0.8170055452865065,0.5231053604436229,36,128,0.005933043611649837,0.005655307788401842,0.005208211389704168,0.0018213093280792236,0.03551549091935158,0,35
aim_on_dare__calib_general,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.015151515151515138,0.5858585858585859,0.5707070707070707,36,128,0.0031124175164020723,0.002771460567601025,0.0033826630602103312,0.0010590404272079468,0.022710666060447693,0,35
aim_on_dare__calib_general,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.04848369977255507,0.8208112206216831,0.772327520849128,36,128,0.010800259795764254,0.010584725998342037,0.0045793765309698,0.004496520850807428,0.03220843896269798,0,35
aim_on_dare__calib_general,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21616627725856694,0.24281690402017506,0.458983181278742,36,128,0.056649990741991334,0.04537089914083481,0.04802262777470492,0.013213777914643288,0.22379076480865479,0,1
