model_id,model_kind,metric,calib_subset,target_id,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_breadcrumbs,candidate,mmd_rbf,uncensored_refusal_like,instr_only,36,128,0.014206637524896197,0.010016182903200388,0.017827126924085522,0.006001883186399937,0.11609072983264923,11,35
aim_on_breadcrumbs,candidate,mmd_rbf,uncensored_refusal_like,reasoning_only,36,128,0.04120820445112056,0.04236515983939171,0.008757588563396807,0.020215166732668877,0.05481123924255371,0,31
aim_on_breadcrumbs,candidate,mmd_rbf,uncensored_refusal_like,uncensored_only,36,128,0.062405563347662486,0.05008178390562534,0.05212922859500724,0.015604841522872448,0.24098746478557587,0,1
aim_on_breadcrumbs,candidate,projected_js,general,base,36,128,0.05944797657947573,0.05857235853909515,0.006381041258129843,0.04563012326252647,0.0910775781958364,0,35
aim_on_breadcrumbs,candidate,projected_js,general,instr_only,36,128,0.05248314826086345,0.05432443467725534,0.010274790710503542,0.03205482134944759,0.09612145170103759,0,35
aim_on_breadcrumbs,candidate,projected_js,general,reasoning_only,36,128,0.0649271289314331,0.06408709156676196,0.0036134493635341497,0.0591393987997435,0.0759914108493831,0,5
aim_on_breadcrumbs,candidate,projected_js,general,uncensored_only,36,128,0.07610072911645854,0.06737898009305354,0.025919022476788324,0.04414409166201949,0.1785140221763868,0,1
aim_on_breadcrumbs,candidate,projected_js,instruction,base,36,128,0.06739024317842753,0.06788967995089479,0.007938639900777816,0.04801913155824877,0.09897825960069895,0,35
aim_on_breadcrumbs,candidate,projected_js,instruction,instr_only,36,128,0.057241054160840577,0.057756422451348044,0.011860381673557418,0.03486173191049602,0.10745626484276727,0,35
aim_on_breadcrumbs,candidate,projected_js,instruction,reasoning_only,36,128,0.07311589073247483,0.07440548529848456,0.00489987253580179,0.0567462403269019,0.07946942927083,1,28
aim_on_breadcrumbs,candidate,projected_js,instruction,uncensored_only,36,128,0.0810987875803322,0.07461837847949937,0.021337416500512584,0.050470160495024174,0.1600644481368363,0,1
aim_on_breadcrumbs,candidate,projected_js,reasoning,base,36,128,0.05824424482367855,0.05839126343198586,0.005167156965760632,0.04488626585225575,0.07652160155703314,0,35
aim_on_breadcrumbs,candidate,projected_js,reasoning,instr_only,36,128,0.04980969967719931,0.05099135031923652,0.008833636868205375,0.03297835796547588,0.08827726426534355,0,35
aim_on_breadcrumbs,candidate,projected_js,reasoning,reasoning_only,36,128,0.06283622513728915,0.06320083880564198,0.004073255278569692,0.04714389465516433,0.07106418715557083,0,35
aim_on_breadcrumbs,candidate,projected_js,reasoning,uncensored_only,36,128,0.06927490072161567,0.06374334555584937,0.015334670664256915,0.03984025128011126,0.12066690501524135,0,1
aim_on_breadcrumbs,candidate,projected_js,uncensored_refusal_like,base,36,128,0.09026499863143221,0.09057557996129617,0.01655374183280807,0.05817805876722559,0.16589602688327432,0,35
aim_on_breadcrumbs,candidate,projected_js,uncensored_refusal_like,instr_only,36,128,0.06742082049014345,0.06339634794858284,0.017575603353547884,0.047495519887888804,0.1601795744500123,1,35
aim_on_breadcrumbs,candidate,projected_js,uncensored_refusal_like,reasoning_only,36,128,0.09470064508463515,0.09188754358910955,0.009497053362832474,0.07748490606900305,0.12147907324833795,1,5
aim_on_breadcrumbs,candidate,projected_js,uncensored_refusal_like,uncensored_only,36,128,0.10643341011665244,0.09540149784879759,0.04135114204313764,0.06817102921195328,0.2591389070439618,0,1
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,general,base,36,128,0.008484144953803884,0.006723796250298619,0.006741132490445068,0.0052153873257339,0.047002021223306656,31,35
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,general,instr_only,36,128,0.005791862618126389,0.004563347902148962,0.008209465935355514,0.0028061990160495043,0.05402367189526558,11,35
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,general,reasoning_only,36,128,0.013168535402251614,0.01170074101537466,0.004313762912464054,0.0087438328191638,0.024065447971224785,34,4
